,LONGNAME,name,STATION_ID,LINES,zone,lat,lon,jaro_score
211,Central Street (Evanston),Central Street (Evanston),17133.0,UP-N,Zone 2,42.064012,-87.698187,1.0
4,Cheltenham (79th Street),Cheltenham (79th Street),1115.0,Electric,Zone 2,41.752153,-87.55267,1.0
78,Chicago Ridge,Chicago Ridge,8168.0,SWS,Zone 3,41.703308,-87.780589,1.0
90,Cicero,Cicero,10070.0,BNSF,Zone 2,41.844252,-87.745156,1.0
104,Clarendon Hills,Clarendon Hills,10183.0,BNSF,Zone 3,41.79715,-87.954051,1.0
156,Clybourn,Clybourn,13029.0,"UP-N, UP-NW",Zone 2,41.917366,-87.668177,1.0
124,College Avenue,College Avenue,11238.0,UP-W,Zone 4,41.868301,-88.09037,1.0
97,Congress Park,Congress Park,10131.0,BNSF,Zone 3,41.818917,-87.857571,1.0
173,Crystal Lake,Crystal Lake,13432.0,UP-NW,Zone 4,42.244181,-88.317016,1.0
165,Cumberland,Cumberland,13186.0,UP-NW,Zone 3,42.052292,-87.912279,1.0
210,Davis Street (Evanston),Davis Street (Evanston),17120.0,UP-N,Zone 2,42.04783,-87.68469,1.0
163,Dee Road,Dee Road,13150.0,UP-NW,Zone 2,42.024075,-87.85638,1.0
188,Deerfield,Deerfield,15242.0,Milw-N,Zone 4,42.168019,-87.849777,1.0
164,Des Plaines,Des Plaines,13171.0,UP-NW,Zone 3,42.040856,-87.886656,1.0
181,Edgebrook,Edgebrook,15116.0,Milw-N,Zone 2,41.997817,-87.765724,1.0
161,Edison Park,Edison Park,13126.0,UP-NW,Zone 2,42.002163,-87.817611,1.0
137,Elburn,Elburn,0.0,UP-W,Zone 4,41.890746,-88.464135,1.0
153,Elgin,Elgin,12366.0,Milw-W,Zone 4,42.036203,-88.286328,1.0
120,Elmhurst,Elmhurst,11157.0,UP-W,Zone 3,41.899684,-87.940904,1.0
140,Elmwood Park,Elmwood Park,12102.0,Milw-W,Zone 2,41.925028,-87.815165,1.0
106,Fairview Avenue (Downers Grove),Fairview Avenue (Downers Grove),10204.0,BNSF,Zone 3,41.795563,-87.994003,1.0
44,Flossmoor,Flossmoor,5249.0,Electric,Zone 3,41.543366,-87.67841,1.0
180,Forest Glen,Forest Glen,15102.0,Milw-N,Zone 2,41.978186,-87.755533,1.0
223,Fort Sheridan,Fort Sheridan,17257.0,UP-N,Zone 4,42.217394,-87.821115,1.0
195,Fox Lake,Fox Lake,15495.0,Milw-N,Zone 4,42.398357,-88.18241,1.0
171,Fox River Grove,Fox River Grove,13373.0,UP-NW,Zone 4,42.197834,-88.219463,1.0
142,Franklin Park,Franklin Park,12132.0,Milw-W,Zone 2,41.936491,-87.8665,1.0
131,Galewood,Galewood,12086.0,Milw-W,Zone 2,41.916574,-87.786443,1.0
128,Geneva,Geneva,11355.0,UP-W,Zone 4,41.88155,-88.31007,1.0
159,Gladstone Park,Gladstone Park,13101.0,UP-NW,Zone 2,41.979712,-87.77795,1.0
123,Glen Ellyn,Glen Ellyn,11224.0,UP-W,Zone 4,41.876438,-88.064717,1.0
217,Glencoe,Glencoe,17192.0,UP-N,Zone 3,42.135501,-87.758167,1.0
184,Glenview,Glenview,15174.0,Milw-N,Zone 3,42.075007,-87.805848,1.0
183,Golf,Golf,15162.0,Milw-N,Zone 3,42.058297,-87.79716,1.0
244,Grand-Cicero,Grand / Cicero,0.0,Milw-W,Zone 2,41.914549,-87.746547,0.9007936507936508
178,Grayland,Grayland,15082.0,Milw-N,Zone 2,41.948879,-87.740353,1.0
191,Grayslake,Grayslake,15410.0,Milw-N,Zone 4,42.333605,-88.043351,1.0
226,Great Lakes,Great Lakes,17322.0,UP-N,Zone 4,42.306985,-87.846626,1.0
51,Gresham,Gresham,6098.0,Rock Is.,Zone 2,41.736988,-87.644524,1.0
88,Halsted Street,Halsted Street,10018.0,BNSF,Zone 2,41.86034,-87.647279,1.0
150,Hanover Park,Hanover Park,12284.0,Milw-W,Zone 4,41.988133,-88.149229,1.0
130,Hanson Park,Hanson Park,12077.0,Milw-W,Zone 2,41.916723,-87.76688,1.0
93,Harlem Avenue,Harlem Avenue,10101.0,BNSF,Zone 2,41.831422,-87.801949,1.0
176,Harvard,Harvard,13631.0,UP-NW,Zone 4,42.41964,-88.617395,1.0
40,Harvey,Harvey,5200.0,Electric,Zone 2,41.608434,-87.64369,1.0
41,Hazel Crest,Hazel Crest,5223.0,Electric,Zone 2,41.580828,-87.658429,1.0
177,Healy,Healy,15064.0,Milw-N,Zone 2,41.924744,-87.727865,1.0
60,Hickory Creek,Hickory Creek,6275.0,Rock Is.,Zone 4,41.54879,-87.845705,1.0
221,Highland Park,Highland Park,17230.0,UP-N,Zone 4,42.183271,-87.797592,1.0
101,Highlands,Highlands,10164.0,BNSF,Zone 3,41.805228,-87.918325,1.0
222,Highwood,Highwood,17245.0,UP-N,Zone 4,42.20336,-87.810709,1.0
102,Hinsdale,Hinsdale,10169.0,BNSF,Zone 3,41.802981,-87.928273,1.0
43,Homewood,Homewood,5235.0,Electric,Zone 3,41.562689,-87.668146,1.0
216,Hubbard Woods,Hubbard Woods,17177.0,UP-N,Zone 3,42.118368,-87.743676,1.0
214,Indian Hill,Indian Hill,17158.0,UP-N,Zone 3,42.094503,-87.723658,1.0
194,Ingleside,Ingleside,15478.0,Milw-N,Zone 4,42.383803,-88.153548,1.0
157,Irving Park,Irving Park,13070.0,UP-NW,Zone 2,41.953235,-87.731179,1.0
146,Itasca,Itasca,12210.0,Milw-W,Zone 3,41.971624,-88.014061,1.0
38,Ivanhoe,Ivanhoe,5182.0,Electric,Zone 2,41.633671,-87.63014,1.0
158,Jefferson Park,Jefferson Park,13091.0,UP-NW,Zone 2,41.970762,-87.762123,1.0
246,Joliet,Joliet,0.0,"Rock Is., Heritage",Zone 4,41.524245,-88.079177,1.0
113,Kedzie,Kedzie,11036.0,UP-W,Zone 2,41.888286,-87.707053,1.0
213,Kenilworth,Kenilworth,17152.0,UP-N,Zone 3,42.086303,-87.716901,1.0
231,Kenosha,Kenosha,17516.0,UP-N,Zone 4,42.585806,-87.826019,1.0
36,Kensington (115th Street),Kensington (115th Street),5145.0,"Electric, S. Shore",Zone 2,41.685719,-87.612147,1.0
136,La Fox,La Fox,0.0,UP-W,Zone 4,41.886717,-88.411811,1.0
98,LaGrange Road,LaGrange Road,10138.0,BNSF,Zone 3,41.815899,-87.870973,1.0
50,LaSalle Street,LaSalle Street,6000.0,Rock Is.,Zone 1,41.876237,-87.632204,1.0
91,LaVergne,LaVergne,10091.0,BNSF,Zone 2,41.835447,-87.784006,1.0
225,Lake Bluff,Lake Bluff,17302.0,UP-N,Zone 4,42.279835,-87.846743,1.0
187,Lake Cook Road,Lake Cook Road,15230.0,Milw-N,Zone 3,42.15186,-87.841054,1.0
224,Lake Forest,Lake Forest,17283.0,UP-N,Zone 4,42.252444,-87.839787,1.0
189,Lake Forest,Lake Forest (West),15280.0,Milw-N,Zone 4,42.22367,-87.874586,0.8703703703703703
205,Lake Villa,Lake Villa,16482.0,NCS,Zone 4,42.417549,-88.079273,1.0
86,Lemont,Lemont,9253.0,Heritage,Zone 3,41.673793,-88.002569,1.0
190,Libertyville,Libertyville,15355.0,Milw-N,Zone 4,42.291047,-87.956216,1.0
109,Lisle,Lisle,10245.0,BNSF,Zone 4,41.797948,-88.071918,1.0
87,Lockport,Lockport,9329.0,Heritage,Zone 4,41.584787,-88.060461,1.0
122,Lombard,Lombard,11199.0,UP-W,Zone 3,41.886365,-88.019034,1.0
193,Long Lake,Long Lake,15460.0,Milw-N,Zone 4,42.367879,-88.12803,1.0
52,Longwood (95th Street),Longwood (95th Street),6109.0,Rock Is.,Zone 2,41.720944,-87.650448,1.0
107,Main Street (Downers Grove),Main Street (Downers Grove),10212.0,BNSF,Zone 4,41.795534,-88.009873,1.0
209,Main Street (Evanston),Main Street (Evanston),17110.0,UP-N,Zone 2,42.03361,-87.680141,1.0
138,Manhattan,Manhattan,0.0,SWS,Zone 4,41.418952,-87.988721,1.0
143,Mannheim,Mannheim,12140.0,Milw-W,Zone 2,41.941773,-87.884052,1.0
132,Mars,Mars,12091.0,Milw-W,Zone 2,41.919288,-87.794401,1.0
47,Matteson,Matteson,5282.0,Electric,Zone 3,41.498553,-87.702339,1.0
179,Mayfair,Mayfair,15090.0,Milw-N,Zone 2,41.960214,-87.746208,1.0
116,Maywood,Maywood,11105.0,UP-W,Zone 2,41.888342,-87.838687,1.0
20,McCormick Place,McCormick Place,5027.0,"Electric, S. Shore",Zone 2,41.851392,-87.616227,1.0
174,McHenry,McHenry,13506.0,UP-NW,Zone 4,42.343574,-88.276159,1.0
147,Medinah,Medinah,12230.0,Milw-W,Zone 3,41.978558,-88.052362,1.0
117,Melrose Park,Melrose Park,11113.0,UP-W,Zone 2,41.890245,-87.855863,1.0
56,Midlothian,Midlothian,6184.0,Rock Is.,Zone 2,41.626232,-87.712202,1.0
16,Millenium Station,Millennium Station,5000.0,"Electric, S. Shore",Zone 1,41.88367,-87.623205,0.9814814814814815
61,Mokena,Mokena,6296.0,Rock Is.,Zone 4,41.531018,-87.886744,1.0
139,Mont Clare,Mont Clare,12095.0,Milw-W,Zone 2,41.921875,-87.801544,1.0
