STATION_ID,LONGNAME,name,,LINES,zone,lat,lon,jaro_score
17120,Davis Street (Evanston),Davis Street (Evanston),,UP-N,Zone 2,42.04783,-87.68469,1
13150,Dee Road,Dee Road,,UP-NW,Zone 2,42.024075,-87.85638,1
15242,Deerfield,Deerfield,,Milw-N,Zone 4,42.168019,-87.849777,1
13171,Des Plaines,Des Plaines,,UP-NW,Zone 3,42.040856,-87.886656,1
15116,Edgebrook,Edgebrook,,Milw-N,Zone 2,41.997817,-87.765724,1
13126,Edison Park,Edison Park,,UP-NW,Zone 2,42.002163,-87.817611,1
0,Elburn,Elburn,,UP-W,Zone 4,41.890746,-88.464135,1
12366,Elgin,Elgin,,Milw-W,Zone 4,42.036203,-88.286328,1
11157,Elmhurst,Elmhurst,,UP-W,Zone 3,41.899684,-87.940904,1
12102,Elmwood Park,Elmwood Park,,Milw-W,Zone 2,41.925028,-87.815165,1
10204,Fairview Avenue (Downers Grove),Fairview Avenue (Downers Grove),,BNSF,Zone 3,41.795563,-87.994003,1
5249,Flossmoor,Flossmoor,,Electric,Zone 3,41.543366,-87.67841,1
15102,Forest Glen,Forest Glen,,Milw-N,Zone 2,41.978186,-87.755533,1
17257,Fort Sheridan,Fort Sheridan,,UP-N,Zone 4,42.217394,-87.821115,1
15495,Fox Lake,Fox Lake,,Milw-N,Zone 4,42.398357,-88.18241,1
13373,Fox River Grove,Fox River Grove,,UP-NW,Zone 4,42.197834,-88.219463,1
12132,Franklin Park,Franklin Park,,Milw-W,Zone 2,41.936491,-87.8665,1
12086,Galewood,Galewood,,Milw-W,Zone 2,41.916574,-87.786443,1
11355,Geneva,Geneva,,UP-W,Zone 4,41.88155,-88.31007,1
13101,Gladstone Park,Gladstone Park,,UP-NW,Zone 2,41.979712,-87.77795,1
11224,Glen Ellyn,Glen Ellyn,,UP-W,Zone 4,41.876438,-88.064717,1
17192,Glencoe,Glencoe,,UP-N,Zone 3,42.135501,-87.758167,1
15174,Glenview,Glenview,,Milw-N,Zone 3,42.075007,-87.805848,1
15162,Golf,Golf,,Milw-N,Zone 3,42.058297,-87.79716,1
0,Grand-Cicero,Grand / Cicero,,Milw-W,Zone 2,41.914549,-87.746547,0.9007936507936508
15082,Grayland,Grayland,,Milw-N,Zone 2,41.948879,-87.740353,1
15410,Grayslake,Grayslake,,Milw-N,Zone 4,42.333605,-88.043351,1
